Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
,,,,,,
10000,1.4189383,-0.13663173,999,0,0,1
,,,,,,
20000,1.4189383,-0.15355194,999,0,0,1
,,,,,,
30000,1.4179357,-0.096451715,999,-0.125,-0.125,1
,,,,,,
40000,1.4177724,-0.07474593,999,-0.1,-0.1,1
,,,,,,
50000,1.4166667,-0.06728253,999,-2.833333333,-2.833333333,1
,,,,,,
60000,1.4163187,-0.025871003,999,0,0,1
,,,,,,
70000,1.4163204,-0.025998889,999,0,0,1
,,,,,,
80000,1.4163412,-0.030684775,999,0,0,1
,,,,,,
90000,1.4153944,-0.023173416,999,0,0,1
,,,,,,
100000,1.414625,-0.01430277,999,0,0,1
,,,,,,
110000,1.4141588,-0.024569372,999,0,0,1
,,,,,,
120000,1.4136512,-0.01722879,999,-2.733333333,-2.733333333,1
,,,,,,
130000,1.4135062,-0.01868448,999,-0.777777778,-0.777777778,1
,,,,,,
140000,1.4132481,-0.03460022,999,-2.25,-2.25,1
,,,,,,
150000,1.4133338,-0.003191641,999,-0.125,-0.125,1
,,,,,,
160000,1.4135783,-0.011747529,999,0.196487649,0.196487649,1
,,,,,,
170000,1.4137924,-0.030475289,999,-0.944444444,-0.944444444,1
,,,,,,
180000,1.4148542,-0.003198684,999,0,0,1
,,,,,,
190000,1.4148105,-0.022551734,999,-0.1875,-0.1875,1
,,,,,,
200000,1.4140071,-0.072116,999,-1.466666667,-1.466666667,1
,,,,,,
210000,1.4140071,-0.01648538,999,0,0,1
,,,,,,
220000,1.4150156,0.003534545,999,0,0,1
,,,,,,
230000,1.4150575,-0.0193813,999,-0.3125,-0.3125,1
,,,,,,
240000,1.4162862,-0.005509967,999,-2.5,-2.5,1
,,,,,,
250000,1.4164875,0.008245473,999,0,0,1
,,,,,,
260000,1.4170725,0.030202676,999,0,0,1
,,,,,,
270000,1.4172419,0.000136974,999,-0.6875,-0.6875,1
,,,,,,
280000,1.4179521,0.004968194,999,-0.135159636,-0.135159636,1
,,,,,,
290000,1.4182929,0.032911327,999,0.051067915,0.051067915,1
,,,,,,
300000,1.4179829,0.017133152,999,0,0,1
,,,,,,
310000,1.4177201,0.01016961,999,0,0,1
,,,,,,
320000,1.4173129,0.011155317,999,0,0,1
,,,,,,
330000,1.4168494,-0.013255125,999,-0.349642555,-0.349642555,1
,,,,,,
340000,1.4167727,-0.011306347,999,-1.75,-1.75,1
,,,,,,
350000,1.4166639,-0.007171227,999,-0.74954617,-0.74954617,1
,,,,,,
360000,1.416788,0.007034005,999,0,0,1
,,,,,,
370000,1.4171332,0.017499704,999,0,0,1
,,,,,,
380000,1.4169275,0.007526127,999,-0.9375,-0.9375,1
,,,,,,
390000,1.4159075,-0.011920531,999,0,0,1
,,,,,,
400000,1.4158285,0.00336643,999,0,0,1
,,,,,,
410000,1.4140052,-0.025162723,999,-1.388888889,-1.388888889,1
,,,,,,
420000,1.4140052,-0.014112237,999,-0.074695349,-0.074695349,1
,,,,,,
430000,1.4137342,0.000627279,999,-1.3125,-1.3125,1
,,,,,,
440000,1.4137312,0.008335599,999,0,0,1
,,,,,,
450000,1.4134576,-0.011995629,999,-1.5,-1.5,1
,,,,,,
460000,1.4134127,-0.015254611,999,0,0,1
,,,,,,
470000,1.4126751,-0.03202903,999,-2.1875,-2.1875,1
,,,,,,
480000,1.4124457,-0.015049846,999,0,0,1
,,,,,,
490000,1.411497,-0.015713256,999,0,0,1
,,,,,,
500000,1.4110051,-0.02417048,999,-1.5625,-1.5625,1
,,,,,,
510000,1.4109001,-0.022239167,999,0.146156088,0.146156088,1
,,,,,,
520000,1.4108423,-0.041340474,999,0,0,1
,,,,,,
530000,1.4107894,-0.053632718,999,-2.833333333,-2.833333333,1
,,,,,,
540000,1.4107277,-0.058293413,999,-2.8125,-2.8125,1
,,,,,,
550000,1.4112107,-0.021333471,999,-0.4375,-0.4375,1
,,,,,,
560000,1.4120401,-0.03203837,999,-0.066666667,-0.066666667,1
,,,,,,
570000,1.4123282,-0.01851049,999,0,0,1
,,,,,,
580000,1.4131426,-0.039135538,999,0,0,1
,,,,,,
590000,1.4130478,-0.041846346,999,-1.4375,-1.4375,1
,,,,,,
600000,1.412618,-0.018774487,999,0,0,1
,,,,,,
610000,1.4125935,-0.009630873,999,0,0,1
,,,,,,
620000,1.4121729,-0.01618514,999,-1.5625,-1.5625,1
,,,,,,
630000,1.412173,-0.012231583,999,-0.5,-0.5,1
,,,,,,
640000,1.4112555,-0.03384516,999,-0.207424664,-0.207424664,1
,,,,,,
650000,1.4112219,-0.031389978,999,-0.833333333,-0.833333333,1
,,,,,,
660000,1.4108001,-0.044809144,999,-0.3125,-0.3125,1
,,,,,,
670000,1.4107361,-0.03356547,999,-1.125,-1.125,1
,,,,,,
680000,1.411097,-0.025529161,999,0,0,1
,,,,,,
690000,1.411204,-0.019982046,999,0,0,1
,,,,,,
700000,1.4110718,-0.030124817,999,0.018662933,0.018662933,1
,,,,,,
710000,1.4109937,-0.009555218,999,0,0,1
,,,,,,
720000,1.4104124,-0.026510816,999,0,0,1
,,,,,,
730000,1.4099692,-0.011437736,999,0,0,1
,,,,,,
740000,1.4091756,-0.009837817,999,0,0,1
